symbol,company,price,vwap,distance,phase,signal,divergence,strength,open_is_low
BBCA,PT Bank Central Asia Tbk,7225.0,7641.2912440094,-5.447917514409133,ACCUMULATION,NEUTRAL,BEARISH,70,False
BBNI,PT Bank Negara Indonesia Tbk,4470.0,4425.433696089188,1.0070494096476008,ABSORBING,HOLD,BEARISH,40,False
BBRI,PT Bank Rakyat Indonesia Tbk,3840.0,3696.30730728265,3.887466078219183,DISTRIBUTION,NEUTRAL,NEUTRAL,55,False
BDMN,PT Bandung Indah Tbk,2780.0,2555.830594499018,8.770902343193944,DISTRIBUTION,SELL,BEARISH,80,False
BMRI,PT Bank Mandiri Tbk,5125.0,4855.80484982969,5.543780248494774,DISTRIBUTION,NEUTRAL,BEARISH,70,False
BSDE,PT Bumi Serpong Damai Tbk,865.0,929.8419350702098,-6.973436304022338,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
BSIM,PT Bank Sinarmas Tbk,1050.0,1338.411340429935,-21.54878188175612,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
BTPN,PT Bank BTPN Tbk,2140.0,2121.4108217117855,0.8762648940017532,ABSORBING,HOLD,BEARISH,40,False
CPIN,PT Charoen Pokphand Indonesia Tbk,4330.0,4523.836885944268,-4.2847894570762834,ACCUMULATION,NEUTRAL,NEUTRAL,55,False
CTBN,PT Citibank Indonesia Tbk,5925.0,6974.689595232183,-15.049982954793265,ACCUMULATION,NEUTRAL,BULLISH,70,False
ENRG,PT Energi Mega Persada Tbk,1690.0,1381.6707388997033,22.315682920652673,DISTRIBUTION,STRONG_SELL,NEUTRAL,100,False
GGRM,PT Gudang Garam Tbk,16300.0,15211.853525205246,7.153279993077452,DISTRIBUTION,NEUTRAL,NEUTRAL,80,False
HMSP,PT Hanwha Q Cells Indonesia Tbk,875.0,825.2118430746295,6.033378864252167,DISTRIBUTION,STRONG_SELL,NEUTRAL,95,False
INCO,PT Vale Indonesia Tbk,6900.0,5766.510933472645,19.6564106026026,DISTRIBUTION,NEUTRAL,BEARISH,70,False
INTP,PT Indocement Tunggal Prakasa Tbk,6550.0,6789.784445194039,-3.5315472402627432,ACCUMULATION,NEUTRAL,NEUTRAL,55,False
ITMG,PT Indo Tambangraya Megah Tbk,22475.0,21995.783685012357,2.178673521481188,DISTRIBUTION,NEUTRAL,BULLISH,65,False
JSMR,PT Jasa Marga Persero Tbk,3760.0,3550.063329790151,5.913603524990039,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
KLBF,PT Kalbe Farma Tbk,1055.0,1182.7045374314248,-10.797670372413643,ACCUMULATION,BUY,BULLISH,80,False
MEDC,PT Medco Energi Internasional Tbk,1730.0,1500.5651008050445,15.289899723235267,DISTRIBUTION,STRONG_SELL,BEARISH,95,False
MIKA,PT Mitra Keluarga Tbk,2310.0,2420.06534219831,-4.548031835302858,ACCUMULATION,NEUTRAL,BEARISH,55,False
MNCN,PT Media Nusantara Citra Tbk,236.0,264.202607943448,-10.674613760619927,ACCUMULATION,NEUTRAL,NEUTRAL,80,False
PGAS,PT Perusahaan Gas Negara Tbk,2190.0,2018.1018250833538,8.517814749488485,DISTRIBUTION,NEUTRAL,BEARISH,70,False
PJAA,PT Pembangunan Jaya Anchor Tbk,565.0,624.0090250598747,-9.456437758125807,ACCUMULATION,NEUTRAL,NEUTRAL,70,False
SMGR,PT Semen Indonesia Tbk,3070.0,2770.7948001253117,10.798533325569851,DISTRIBUTION,STRONG_SELL,NEUTRAL,95,False
TINS,PT Timah Tbk,3920.0,3466.08579868762,13.095873203261377,DISTRIBUTION,NEUTRAL,NEUTRAL,70,False
TLKM,PT Telekomunikasi Indonesia Tbk,3480.0,3535.030651314011,-1.5567234556666516,ABSORBING,HOLD,NEUTRAL,40,False
UNTR,PT United Tractors Tbk,30725.0,27984.0428596369,9.794714631160575,DISTRIBUTION,NEUTRAL,BEARISH,70,False
UNVR,PT Unilever Indonesia Tbk,2240.0,2394.046144461264,-6.434552016370137,ACCUMULATION,NEUTRAL,BEARISH,70,False
WIKA,PT Wika Gedung Tbk,204.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
WSKT,PT Waskita Karya Tbk,202.0,,,DISTRIBUTION,NEUTRAL,NEUTRAL,50,True
